2021/04/12 04:00:36
8 8 흑
7 7 백
8 7 흑
8 6 백
8 9 흑
7 9 백
8 10 흑
7 10 백
8 11 흑

2021/04/12 04:23:32
8 8 흑
8 7 백
7 7 흑
9 9 백
9 8 흑
6 8 백
7 9 흑
7 10 백
10 6 흑
6 10 백
10 8 흑
6 9 백
11 8 흑
5 10 백
7 11 흑
4 11 백
4 12 흑
5 8 백
5 9 흑
3 6 백
3 7 흑
12 8 백
12 9 흑
6 11 백
6 12 흑
3 8 백
3 9 흑
2 7 백
2 8 흑
11 5 백
11 6 흑
6 7 백

2021/04/12 04:32:13
8 8 흑
8 7 백
8 9 흑
7 9 백
8 11 흑
9 10 백
9 11 흑
6 11 백
6 12 흑
8 12 백
8 13 흑
11 11 백
11 12 흑
7 6 백
7 7 흑
9 6 백
9 7 흑
10 8 백
10 9 흑
10 5 백
10 6 흑
7 8 백
7 10 흑
6 9 백

2021/04/12 04:53:03
8 8 흑
9 8 백
7 9 흑
6 10 백
7 7 흑
8 6 백
9 6 흑
7 8 백
5 7 흑
5 5 백
6 5 흑
6 11 백
5 10 흑
6 7 백
5 8 흑
5 9 백
4 9 흑
6 9 백
6 6 흑
6 8 백

2021/04/12 05:27:26
8 8 흑
7 7 백
7 8 흑
8 9 백
10 8 흑
9 8 백
10 6 흑
10 5 백
11 7 흑
12 6 백
12 5 흑
9 7 백
9 9 흑
7 11 백
7 12 흑
5 10 백
5 11 흑
10 10 백
10 11 흑
7 10 백
7 13 흑
10 7 백
10 9 흑
6 11 백

2021/04/12 05:27:46
8 8 흑
7 8 백
7 9 흑
8 9 백
9 9 흑
9 8 백
10 7 흑
10 10 백
11 7 흑
10 6 백
9 6 흑
8 6 백
8 7 흑
7 7 백
12 7 흑
9 7 백
11 8 흑
8 5 백
7 5 흑
6 7 백
8 9 흑
7 10 백
7 11 흑
7 12 백
6 12 흑
5 12 백
5 13 흑
4 13 백
4 14 흑
3 14 백
3 15 흑

2021/04/12 07:03:30
8 8 흑
9 8 백
9 9 흑
7 7 백
7 9 흑
8 10 백
9 7 흑
10 6 백
6 9 흑
8 9 백
6 10 흑
5 11 백
6 11 흑
6 8 백
6 12 흑
6 13 백
7 10 흑
7 12 백
8 11 흑
5 8 백
8 11 흑
5 8 백
9 12 흑
10 13 백
9 11 흑
5 9 백
9 10 흑
5 9 백
9 11 흑
9 13 백
10 11 흑
7 11 백
11 11 흑
12 11 백
4 10 흑
5 10 백
5 7 흑
5 12 백

2021/04/12 08:26:41
8 8 흑
8 7 백
7 7 흑
5 5 백
10 10 흑
10 10 백
9 9 흑
7 9 백
10 8 흑
10 10 백
8 10 흑
10 10 백
7 11 흑
10 10 백
6 12 흑

2021/04/12 08:55:02
1 1 흑
8 8 백
1 2 흑
1 3 백
2 1 흑
3 1 백
2 1 흑
2 2 백
4 5 흑
4 4 백
1 5 흑
2 5 백
1 2 흑
2 3 백
1 8 흑
2 9 백
1 5 흑
2 4 백
1 2 흑
3 2 백
1 5 흑
1 6 백
4 8 흑
6 9 백
4 8 흑
6 8 백
3 7 흑
2 7 백
1 5 흑
3 5 백
4 8 흑
5 8 백
1 5 흑
2 6 백

2021/04/12 16:06:30
7 7 흑
7 8 백
6 6 흑
7 6 백
5 5 흑
6 5 백
4 4 흑

2021/04/12 16:14:24
9 8 흑
9 2 백
10 8 흑
7 3 백
11 8 흑
7 8 백
12 8 흑

2021/04/13 11:41:55
15 2 흑
8 8 백
14 1 흑
9 8 백
7 8 흑
7 7 백
10 8 흑
10 7 백
8 7 흑
8 9 백
7 8 흑
7 10 백
7 8 흑
11 6 백

2021/04/18 04:10:28
15 15 흑
8 8 백
14 15 흑
8 9 백
8 10 흑
9 9 백
7 9 흑
10 10 백
13 15 흑
11 11 백
12 12 흑
7 7 백

2021/04/18 06:33:46
15 1 흑
8 8 백
7 7 흑
8 7 백
8 6 흑
6 8 백
9 8 흑
9 7 백
10 7 흑
7 9 백
6 10 흑
10 6 백
8 10 흑
11 5 백

2021/04/18 11:35:33
15 1 흑
15 2 백
14 2 흑
14 3 백
13 3 흑
13 4 백
14 2 흑
13 5 백
14 2 흑
12 5 백
14 2 흑
11 6 백

2021/04/18 13:17:23
1 1 흑
5 5 백
4 8 흑
5 6 백
6 4 흑
5 7 백
2 7 흑
5 8 백
7 3 흑
5 4 백

2021/04/18 13:18:09
1 1 흑
5 5 백
3 1 흑
6 5 백
6 5 흑
7 6 백
8 8 흑
6 8 백
11 9 흑
5 7 백
11 8 흑
4 6 백
14 10 흑
7 9 백
14 9 흑
3 5 백

2021/04/19 03:15:15
8 6 흑

2021/04/19 03:24:04
1 1 흑
5 5 백
5 6 흑
6 7 백
7 7 흑
7 8 백
8 10 흑

